date,station_name,latitude,longitude,PM2.5
2025-04-16,Abay avenue,43.225554,76.861876,19.15
2025-04-17,Abay avenue,43.225554,76.861876,13.57
2025-04-18,Abay avenue,43.225554,76.861876,20.59
2025-04-19,Abay avenue,43.225554,76.861876,23.61
2025-04-20,Abay avenue,43.225554,76.861876,22.54
2025-04-21,Abay avenue,43.225554,76.861876,27.51
2025-04-22,Abay avenue,43.225554,76.861876,23.41
2025-04-16,Alatau,43.176047,76.896593,15.78
2025-04-17,Alatau,43.176047,76.896593,12.45
2025-04-18,Alatau,43.176047,76.896593,20.57
2025-04-19,Alatau,43.176047,76.896593,21.3
2025-04-20,Alatau,43.176047,76.896593,17.73
2025-04-21,Alatau,43.176047,76.896593,26.16
2025-04-22,Alatau,43.176047,76.896593,21.89
2025-04-16,AsiaFood,43.242868,76.828894,54.82
2025-04-17,AsiaFood,43.242868,76.828894,28.8
2025-04-18,AsiaFood,43.242868,76.828894,20.59
2025-04-19,AsiaFood,43.242868,76.828894,37.03
2025-04-20,AsiaFood,43.242868,76.828894,71.88
2025-04-21,AsiaFood,43.242868,76.828894,60.71
2025-04-22,AsiaFood,43.242868,76.828894,19.55
2025-04-16,Atyrau 54,43.296422,76.992052,59.65
2025-04-17,Atyrau 54,43.296422,76.992052,31.7
2025-04-18,Atyrau 54,43.296422,76.992052,21.21
2025-04-19,Atyrau 54,43.296422,76.992052,39.14
2025-04-20,Atyrau 54,43.296422,76.992052,79.45
2025-04-21,Atyrau 54,43.296422,76.992052,66.81
2025-04-22,Atyrau 54,43.296422,76.992052,19.93
2025-04-16,Aynabulak 3,43.326581,76.920906,74.49
2025-04-17,Aynabulak 3,43.326581,76.920906,33.79
2025-04-18,Aynabulak 3,43.326581,76.920906,14.52
2025-04-19,Aynabulak 3,43.326581,76.920906,39.33
2025-04-20,Aynabulak 3,43.326581,76.920906,81.38
2025-04-21,Aynabulak 3,43.326581,76.920906,79.17
2025-04-22,Aynabulak 3,43.326581,76.920906,22.0
2025-04-16,CHP-2,43.291054,76.800777,57.3
2025-04-17,CHP-2,43.291054,76.800777,30.27
2025-04-18,CHP-2,43.291054,76.800777,21.09
2025-04-19,CHP-2,43.291054,76.800777,38.0
2025-04-20,CHP-2,43.291054,76.800777,76.03
2025-04-21,CHP-2,43.291054,76.800777,64.35
2025-04-22,CHP-2,43.291054,76.800777,19.89
2025-04-16,DIS-7,43.206545,76.776315,23.76
2025-04-17,DIS-7,43.206545,76.776315,15.72
2025-04-18,DIS-7,43.206545,76.776315,22.27
2025-04-19,DIS-7,43.206545,76.776315,26.55
2025-04-20,DIS-7,43.206545,76.776315,28.75
2025-04-21,DIS-7,43.206545,76.776315,29.68
2025-04-22,DIS-7,43.206545,76.776315,23.51
2025-04-16,EkoPost,43.249577,76.80691,56.85
2025-04-17,EkoPost,43.249577,76.80691,30.2
2025-04-18,EkoPost,43.249577,76.80691,20.76
2025-04-19,EkoPost,43.249577,76.80691,38.28
2025-04-20,EkoPost,43.249577,76.80691,74.3
2025-04-21,EkoPost,43.249577,76.80691,62.21
2025-04-22,EkoPost,43.249577,76.80691,19.52
2025-04-16,Elaman 105,43.36754,76.945592,75.53
2025-04-17,Elaman 105,43.36754,76.945592,33.15
2025-04-18,Elaman 105,43.36754,76.945592,15.78
2025-04-19,Elaman 105,43.36754,76.945592,38.62
