date,PM2.5,PM10,station_name,latitude,longitude
2018-11-15,16.4,,US Embassy,51.128736,71.46939
2018-11-16,17.3,,US Embassy,51.128736,71.46939
2018-11-17,17.8,,US Embassy,51.128736,71.46939
2018-11-18,35.4,,US Embassy,51.128736,71.46939
2018-11-19,23.0,,US Embassy,51.128736,71.46939
2018-11-20,21.6,,US Embassy,51.128736,71.46939
2018-11-21,20.2,,US Embassy,51.128736,71.46939
2018-11-22,18.3,,US Embassy,51.128736,71.46939
2018-11-23,15.9,,US Embassy,51.128736,71.46939
2018-11-24,19.2,,US Embassy,51.128736,71.46939
2018-11-25,16.9,,US Embassy,51.128736,71.46939
2018-11-26,17.3,,US Embassy,51.128736,71.46939
2018-11-27,21.1,,US Embassy,51.128736,71.46939
2018-11-28,16.4,,US Embassy,51.128736,71.46939
2018-11-29,17.3,,US Embassy,51.128736,71.46939
2018-11-30,24.0,,US Embassy,51.128736,71.46939
2018-12-01,21.6,,US Embassy,51.128736,71.46939
2018-12-02,38.7,,US Embassy,51.128736,71.46939
2018-12-03,31.6,,US Embassy,51.128736,71.46939
2018-12-04,51.7,,US Embassy,51.128736,71.46939
2018-12-05,40.8,,US Embassy,51.128736,71.46939
2018-12-06,269.7,,US Embassy,51.128736,71.46939
2018-12-07,314.1,,US Embassy,51.128736,71.46939
2018-12-08,277.7,,US Embassy,51.128736,71.46939
2018-12-09,74.9,,US Embassy,51.128736,71.46939
2018-12-10,55.5,,US Embassy,51.128736,71.46939
2018-12-11,63.2,,US Embassy,51.128736,71.46939
2018-12-13,40.4,,US Embassy,51.128736,71.46939
2018-12-14,27.3,,US Embassy,51.128736,71.46939
2018-12-15,43.2,,US Embassy,51.128736,71.46939
2018-12-16,26.8,,US Embassy,51.128736,71.46939
2018-12-17,18.8,,US Embassy,51.128736,71.46939
2018-12-18,39.2,,US Embassy,51.128736,71.46939
2018-12-19,22.1,,US Embassy,51.128736,71.46939
2018-12-20,86.5,,US Embassy,51.128736,71.46939
2018-12-21,49.7,,US Embassy,51.128736,71.46939
2018-12-22,47.7,,US Embassy,51.128736,71.46939
2018-12-23,39.2,,US Embassy,51.128736,71.46939
2018-12-24,59.4,,US Embassy,51.128736,71.46939
2018-12-25,109.7,,US Embassy,51.128736,71.46939
2018-12-26,189.9,,US Embassy,51.128736,71.46939
2018-12-27,140.7,,US Embassy,51.128736,71.46939
2018-12-28,30.6,,US Embassy,51.128736,71.46939
2018-12-29,22.6,,US Embassy,51.128736,71.46939
2018-12-30,23.5,,US Embassy,51.128736,71.46939
2019-01-01,31.1,,US Embassy,51.128736,71.46939
2019-01-02,43.2,,US Embassy,51.128736,71.46939
2019-01-03,179.8,,US Embassy,51.128736,71.46939
2019-01-04,196.9,,US Embassy,51.128736,71.46939
2019-01-05,80.7,,US Embassy,51.128736,71.46939
2019-01-06,27.3,,US Embassy,51.128736,71.46939
2019-01-07,27.8,,US Embassy,51.128736,71.46939
2019-01-08,45.2,,US Embassy,51.128736,71.46939
2019-01-09,31.1,,US Embassy,51.128736,71.46939
2019-01-10,107.8,,US Embassy,51.128736,71.46939
2019-01-11,119.4,,US Embassy,51.128736,71.46939
2019-01-12,47.7,,US Embassy,51.128736,71.46939
2019-01-13,23.0,,US Embassy,51.128736,71.46939
2019-01-14,20.2,,US Embassy,51.128736,71.46939
2019-01-15,46.9,,US Embassy,51.128736,71.46939
2019-01-16,127.2,,US Embassy,51.128736,71.46939
2019-01-17,121.3,,US Embassy,51.128736,71.46939
2019-01-18,26.8,,US Embassy,51.128736,71.46939
2019-01-19,27.3,,US Embassy,51.128736,71.46939
2019-01-20,30.2,,US Embassy,51.128736,71.46939
2019-01-21,26.4,,US Embassy,51.128736,71.46939
