date,min,max,median,q1,q3,stdev,count
2024-12-14T00:00:00.000Z,0.44,6.52,1.3,0.6,3.91,2.183,11
2024-12-15T00:00:00.000Z,0.45,6.56,1.81,0.9,3.52,1.912,24
2024-12-16T00:00:00.000Z,0.51,4.63,1.45,1.02,1.93,1.054,24
2024-12-17T00:00:00.000Z,0.43,4.23,2.74,1.32,3.47,1.226,24
2024-12-18T00:00:00.000Z,0.44,6.45,2.33,0.56,3.36,1.613,24
2024-12-19T00:00:00.000Z,0.44,5.27,1.09,0.88,2.61,1.463,24
2024-12-20T00:00:00.000Z,0.55,6.42,3.68,2.19,5.32,1.854,24
2024-12-21T00:00:00.000Z,0.43,6.53,1.61,0.95,2.86,1.926,24
2024-12-22T00:00:00.000Z,0.44,6.45,1.84,0.95,3.38,1.909,24
2024-12-23T00:00:00.000Z,0.46,6.97,2.12,0.6,4.25,2,24
2024-12-24T00:00:00.000Z,0.45,8.14,2.93,1.1,4.29,2.181,24
2024-12-25T00:00:00.000Z,0.46,7.47,0.93,0.65,3.32,1.841,24
2024-12-26T00:00:00.000Z,0.53,6,1.92,1.21,3.41,1.616,24
2024-12-27T00:00:00.000Z,0.44,5.46,1.55,0.81,2.46,1.177,24
2024-12-28T00:00:00.000Z,0.49,6.02,1.21,0.74,3.01,1.934,24
2024-12-29T00:00:00.000Z,0.49,4.88,1.52,1.07,3.67,1.448,21
2024-12-30T00:00:00.000Z,0.43,6.4,1.59,0.88,2.94,1.574,22
2024-12-31T00:00:00.000Z,0.44,6.14,1.38,0.61,2.1,1.922,24
2025-01-01T00:00:00.000Z,0.44,7.18,1.72,0.97,3.5,1.699,24
2025-01-02T00:00:00.000Z,0.43,5.96,3.08,1,4.17,1.805,24
2025-01-03T00:00:00.000Z,0.44,6.71,3.55,0.97,5.63,2.245,24
2025-01-04T00:00:00.000Z,0.46,6.65,1.39,0.57,5.78,2.494,24
2025-01-05T00:00:00.000Z,0.48,7.47,0.94,0.54,3.33,2.031,24
2025-01-06T00:00:00.000Z,0.44,6.55,2.48,0.93,3.87,1.952,24
2025-01-07T00:00:00.000Z,0.45,5.39,2.79,1.15,4.4,1.678,24
2025-01-08T00:00:00.000Z,0.64,6.1,1.84,1.13,3.42,1.753,24
2025-01-09T00:00:00.000Z,0.52,5.01,1.98,1.26,3.14,1.403,24
2025-01-10T00:00:00.000Z,0.43,5.74,1.37,0.61,3.34,1.721,24
2025-01-11T00:00:00.000Z,0.48,5.45,1.61,0.62,3.83,1.733,24
2025-01-12T00:00:00.000Z,0.44,7.08,1.35,0.62,2.87,1.963,24
2025-01-13T00:00:00.000Z,0.44,4.73,0.89,0.68,1.44,1.11,22
2025-01-14T00:00:00.000Z,0.57,5.69,3.19,0.71,4.33,1.75,19
2025-01-15T00:00:00.000Z,0.43,5.91,2.4,0.56,4.26,1.881,24
2025-01-16T00:00:00.000Z,0.45,6.04,1.77,0.94,2.42,1.673,24
2025-01-17T00:00:00.000Z,0.43,6.22,1.93,1.26,3.9,1.743,24
2025-01-18T00:00:00.000Z,0.46,5.49,1.3,0.66,2.86,1.703,24
2025-01-19T00:00:00.000Z,0.44,6.01,1.38,0.98,4.3,1.95,24
2025-01-20T00:00:00.000Z,0.45,7.02,4.32,2.27,5.76,1.985,24
2025-01-21T00:00:00.000Z,0.46,6.67,2.04,1.11,3.99,1.871,24
2025-01-22T00:00:00.000Z,0.45,5.5,2.54,0.95,4.17,1.587,24
2025-01-23T00:00:00.000Z,0.46,6.2,1.72,0.67,3.81,1.878,22
2025-01-28T00:00:00.000Z,0.54,6.64,2.69,1.59,3.41,1.525,16
2025-01-29T00:00:00.000Z,0.47,6.58,1.82,1.09,4.34,1.994,24
2025-01-30T00:00:00.000Z,0.43,9.5,5.34,2.29,7.12,2.661,20
2025-01-31T00:00:00.000Z,0.44,7.65,2.27,0.84,5.97,2.613,24
2025-02-01T00:00:00.000Z,0.44,6.58,1.59,0.79,3.34,1.965,9
2025-02-02T00:00:00.000Z,0.47,6.31,1.58,0.7,4.36,2.011,18
2025-02-03T00:00:00.000Z,0.44,7.32,2.57,0.75,4.24,2.093,24
2025-02-04T00:00:00.000Z,0.49,7.4,2.69,1.35,4.96,2.265,24
2025-02-05T00:00:00.000Z,0.48,4.88,2.12,1.1,3.6,1.414,20
2025-02-06T00:00:00.000Z,0.52,8.11,1.1,0.77,2.61,1.977,24
2025-02-07T00:00:00.000Z,0.62,4.73,2.52,1.27,3.61,1.308,24
2025-02-08T00:00:00.000Z,0.73,6.49,3.31,2.11,4.15,1.485,24
2025-02-09T00:00:00.000Z,0.44,5.45,0.93,0.69,1.46,1.286,24
